DV   ,DV/sc ,Dt   , Dt/sc
7    ,1        ,0    , 2.5
6.52 ,1        ,0.9  , 2.5
6    ,1        ,2    , 2.5
5.52 ,1        ,3.1  , 2.5
5    ,1        ,4.5  , 2.5
4.52 ,1        ,5.9  , 2.5
4    ,1        ,7.5  , 2.5
3.52 ,1        ,9.2  , 2.5
3    ,1        ,11.4 , 5
2.52 ,1        ,13.8 , 5
2    ,1        ,17   , 5
1.52 ,1        ,20.8 , 10
1    ,1        ,26   , 10
0.52 ,1        ,35   , 25
